Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Revenue,Cost,Profit,Profit_Margin,Year,Month,Month_Name,Year_Month
1070,2023-01-01,Eve,South,783.18,12,Furniture,664.33,863.03,Returning,0.25,Bank Transfer,Retail,South-Eve,10356.36,7971.960000000001,2384.3999999999996,23.02353336500469,2023,1,Jan,2023-01
1089,2023-01-01,Charlie,North,8130.13,35,Clothing,4071.01,4304.7,New,0.14,Credit Card,Online,North-Charlie,150664.5,142485.35,8179.149999999994,5.428717448370382,2023,1,Jan,2023-01
1008,2023-01-01,Eve,North,5227.81,38,Clothing,4635.23,5075.44,Returning,0.05,Cash,Online,North-Eve,192866.71999999997,176138.74,16727.97999999998,8.673336695931773,2023,1,Jan,2023-01
1064,2023-01-02,David,South,5533.7,10,Electronics,2242.01,2282.23,Returning,0.2,Credit Card,Online,South-David,22822.3,22420.100000000002,402.1999999999971,1.7623114234761488,2023,1,Jan,2023-01
1075,2023-01-02,David,West,919.09,26,Electronics,4535.38,4557.56,New,0.0,Credit Card,Online,West-David,118496.56000000001,117919.88,576.6800000000076,0.48666391665716496,2023,1,Jan,2023-01
1027,2023-01-03,Bob,East,7648.22,30,Furniture,745.93,1143.02,Returning,0.2,Credit Card,Online,East-Bob,34290.6,22377.899999999998,11912.7,34.74042448951025,2023,1,Jan,2023-01
1099,2023-01-03,Bob,East,5613.1,31,Furniture,4632.85,4711.700000000001,New,0.21,Cash,Retail,East-Bob,146062.7,143618.35,2444.350000000006,1.6734936434832477,2023,1,Jan,2023-01
1087,2023-01-03,Charlie,East,8057.76,20,Furniture,3625.94,3880.53,New,0.24,Bank Transfer,Online,East-Charlie,77610.6,72518.8,5091.800000000003,6.560701759811163,2023,1,Jan,2023-01
1074,2023-01-04,Eve,South,7508.72,38,Furniture,1394.74,1848.69,Returning,0.0,Bank Transfer,Retail,South-Eve,70250.22,53000.12,17250.1,24.55522559217608,2023,1,Jan,2023-01
1064,2023-01-04,Eve,East,7412.11,10,Electronics,4764.96,5074.42,New,0.12,Cash,Online,East-Eve,50744.2,47649.6,3094.5999999999985,6.098430953685345,2023,1,Jan,2023-01
1002,2023-01-04,Bob,East,2716.34,17,Furniture,1727.12,1865.83,New,0.21,Cash,Online,East-Bob,31719.11,29361.039999999997,2358.0700000000033,7.434224982983455,2023,1,Jan,2023-01
1051,2023-01-04,Eve,North,4979.36,14,Electronics,3686.81,3710.92,New,0.1,Bank Transfer,Retail,North-Eve,51952.880000000005,51615.34,337.54000000000815,0.6497041164994282,2023,1,Jan,2023-01
1090,2023-01-04,Eve,North,1028.39,14,Furniture,4037.21,4323.71,Returning,0.27,Credit Card,Online,North-Eve,60531.94,56520.94,4011.0,6.626253842186455,2023,1,Jan,2023-01
1086,2023-01-04,Bob,South,6530.14,8,Furniture,1569.31,1798.02,New,0.07,Credit Card,Online,South-Bob,14384.16,12554.48,1829.6800000000003,12.720103224658239,2023,1,Jan,2023-01
